seed,rotate,pair_group,freeze_result,freeze_failed_conditions,freeze_rel_x_m,freeze_rel_y_m,freeze_rel_z_m,freeze_orientation_alignment,freeze_inhand_status,freeze_inhand_bias_m,freeze_stop_reason,freeze_actions,freeze_cost_step,freeze_cost_time_s,finetune_result,finetune_failed_conditions,finetune_rel_x_m,finetune_rel_y_m,finetune_rel_z_m,finetune_orientation_alignment,finetune_inhand_status,finetune_inhand_bias_m,finetune_stop_reason,finetune_actions,finetune_cost_step,finetune_cost_time_s
1000000,pi,both_failed,failed,z_depth+inhand_bias,-0.001804837,0.000184114,-0.026965040,0.998277066,fail,0.040294637,inhand_early_stop,229,650,83.832148,failed,x+z_depth+orientation+inhand_bias,-0.010450941,-0.000479900,-0.005732725,0.847937920,fail,0.040084815,inhand_early_stop,203,631,77.905112
1000001,0,both_failed,failed,z_depth+inhand_bias,0.002264863,-0.000933501,-0.027824593,0.995815966,fail,0.040798746,inhand_early_stop,135,606,63.051757,failed,z_depth+inhand_bias,0.001931123,-0.000451923,-0.038132232,0.998707642,fail,0.040409149,inhand_early_stop,160,595,64.425809
1000002,pi,both_failed,failed,z_depth+inhand_bias,-0.002475797,-0.000602425,-0.028570962,0.997585083,fail,0.040620069,inhand_early_stop,148,606,63.506784,failed,z_depth+inhand_bias,-0.002262825,-0.000274621,-0.033673836,0.998623991,fail,0.040159249,inhand_early_stop,150,567,61.799526
1000003,0,both_failed,failed,z_depth+orientation+inhand_bias,-0.008780315,0.002086621,0.005572226,0.928129247,fail,0.040100415,inhand_early_stop,166,621,66.979828,failed,z_depth+orientation+inhand_bias,-0.007045536,0.001219923,0.004333803,0.936240856,fail,0.040021309,inhand_early_stop,180,636,69.477205
1000004,0,both_success,success,,0.000406658,0.000137752,-0.040196649,0.998356549,pass_implied,,success,201,637,71.906886,success,,0.000674335,0.000310953,-0.040244885,0.998335976,pass_implied,,success,220,662,76.048490
1000005,pi,both_failed,failed,z_depth+orientation+inhand_bias,0.007272414,0.000012554,-0.011934743,0.774325426,fail,0.040369761,inhand_early_stop,175,590,66.370305,failed,z_depth+inhand_bias,-0.001600342,0.000898514,-0.017903089,0.995056627,fail,0.040575179,inhand_early_stop,237,653,79.042817
1000006,pi,freeze_only,success,,-0.000566014,0.001203601,-0.040198191,0.998959841,pass_implied,,success,190,613,72.900945,failed,z_depth+inhand_bias,-0.002307946,-0.000115747,-0.025993139,0.995984505,fail,0.040735701,inhand_early_stop,67,497,48.179558
1000007,pi,both_success,success,,-0.001092340,-0.000750109,-0.040817641,0.999997330,pass_implied,,success,129,593,61.526869,success,,-0.000132499,-0.000237098,-0.040374114,0.999809710,pass_implied,,success,122,588,59.412128
1000008,pi,both_failed,failed,z_depth+inhand_bias,-0.002350972,-0.001752177,-0.024454374,0.995676074,fail,0.040574435,inhand_early_stop,207,629,74.915519,failed,z_depth+inhand_bias,-0.002283368,-0.001049142,-0.024769056,0.995073918,fail,0.040553935,inhand_early_stop,153,587,64.452946
1000009,pi,both_failed,failed,z_depth+orientation+inhand_bias,0.006398355,-0.000142670,-0.012437973,0.771891981,fail,0.040463040,inhand_early_stop,158,568,64.732772,failed,z_depth+orientation+inhand_bias,0.008214365,-0.000397869,-0.010330276,0.714370455,fail,0.040416749,inhand_early_stop,145,538,60.827744
1000010,pi,both_failed,failed,z_depth+orientation+inhand_bias,0.005841606,-0.000890303,-0.012919457,0.797018540,fail,0.040352567,inhand_early_stop,182,590,70.087133,failed,z_depth+orientation+inhand_bias,-0.007370588,-0.008958023,-0.003910687,0.835020954,fail,0.040342475,inhand_early_stop,187,578,68.022224
1000011,pi,both_failed,failed,z_depth+inhand_bias,0.000439931,0.001184925,-0.019927873,0.993261266,fail,0.040377814,inhand_early_stop,210,625,74.877145,failed,z_depth+orientation+inhand_bias,-0.008586662,0.005225364,-0.004848755,0.906444528,fail,0.040132573,inhand_early_stop,188,610,71.497918
1000012,pi,both_success,success,,-0.000820750,0.000454200,-0.040497373,0.999938524,pass_implied,,success,168,605,61.469820,success,,-0.000096358,0.000399359,-0.040074093,0.999596624,pass_implied,,success,160,584,59.451880
1000013,pi,both_failed,failed,z_depth+orientation+inhand_bias,0.006355288,-0.000779169,-0.011372561,0.737477661,fail,0.040377985,inhand_early_stop,191,594,60.978541,failed,z_depth+orientation+inhand_bias,0.004842480,-0.000381333,-0.013977931,0.842203914,fail,0.040354246,inhand_early_stop,198,606,63.422662
1000014,0,both_failed,failed,z_depth+inhand_bias,0.002389781,0.000622902,-0.023436724,0.994807828,fail,0.040256711,inhand_early_stop,175,575,57.349442,failed,z_depth+inhand_bias,0.002017370,0.001703661,-0.027693287,0.993954390,fail,0.040241589,inhand_early_stop,204,621,64.644791
1000015,pi,finetune_only,failed,z_depth+orientation+inhand_bias,0.003226854,0.000458466,-0.016383319,0.901504701,fail,0.040320188,inhand_early_stop,101,533,46.390318,success,,-0.001933557,-0.000022708,-0.040322354,0.999367632,pass_implied,,success,206,650,66.046008
1000016,0,both_failed,failed,z_depth+inhand_bias,0.001723579,0.001605965,-0.026807214,0.994647214,fail,0.040350096,inhand_early_stop,196,609,62.578703,failed,z_depth+orientation+inhand_bias,-0.007274990,0.007108978,0.004613798,0.909092129,fail,0.040097155,inhand_early_stop,164,592,58.831549
1000017,0,both_failed,failed,z_depth+orientation+inhand_bias,-0.009185972,0.000087832,-0.008473714,0.624606378,fail,0.040273112,inhand_early_stop,171,596,57.534358,failed,inhand_bias,0.001303691,-0.000205424,-0.040122173,0.998745934,fail,0.040265777,inhand_early_stop,197,627,63.778616
1000018,0,both_success,success,,0.000585305,-0.000982729,-0.041268416,0.998565846,pass_implied,,success,227,613,64.965553,success,,0.000887220,-0.001049533,-0.040765815,0.998447943,pass_implied,,success,226,626,67.207044
1000019,pi,both_failed,failed,z_depth+orientation+inhand_bias,0.001911543,-0.000095701,-0.020401493,0.976761863,fail,0.040160388,inhand_early_stop,208,590,62.139641,failed,z_depth+inhand_bias,-0.001629769,0.000409133,-0.032627713,0.998488057,fail,0.040019924,inhand_early_stop,231,626,68.771620
