seed,rotate,pair_group,vision_result,vision_failed_conditions,vision_rel_x_m,vision_rel_y_m,vision_rel_z_m,vision_orientation_alignment,vision_inhand_status,vision_inhand_bias_m,vision_stop_reason,vision_actions,vision_cost_step,vision_cost_time_s,freeze_result,freeze_failed_conditions,freeze_rel_x_m,freeze_rel_y_m,freeze_rel_z_m,freeze_orientation_alignment,freeze_inhand_status,freeze_inhand_bias_m,freeze_stop_reason,freeze_actions,freeze_cost_step,freeze_cost_time_s
1000000,pi,vision_only_success,success,,-0.001095271,0.000350030,-0.040518786,0.998754748,pass_implied,,success,209,635,80.380620,failed,z_depth+inhand_bias,-0.001804837,0.000184114,-0.026965040,0.998277066,fail,0.040294637,inhand_early_stop,229,650,83.832148
1000001,0,vision_only_success,success,,0.001946217,-0.000494917,-0.040226777,0.999586718,pass_implied,,success,157,592,62.114479,failed,z_depth+inhand_bias,0.002264863,-0.000933501,-0.027824593,0.995815966,fail,0.040798746,inhand_early_stop,135,606,63.051757
1000002,pi,both_failed,failed,z_depth+orientation+inhand_bias,0.007105788,-0.000574947,-0.008670983,0.579335467,fail,0.040096632,inhand_early_stop,149,568,60.599325,failed,z_depth+inhand_bias,-0.002475797,-0.000602425,-0.028570962,0.997585083,fail,0.040620069,inhand_early_stop,148,606,63.506784
1000003,0,vision_only_success,success,,0.001250116,-0.000051863,-0.040099685,0.999133504,pass_implied,,success,196,637,71.483803,failed,z_depth+orientation+inhand_bias,-0.008780315,0.002086621,0.005572226,0.928129247,fail,0.040100415,inhand_early_stop,166,621,66.979828
1000004,0,freeze_only_success,failed,z_depth+inhand_bias,0.002320620,0.001489954,-0.031551798,0.996464772,fail,0.040021162,inhand_early_stop,245,672,80.427293,success,,0.000406658,0.000137752,-0.040196649,0.998356549,pass_implied,,success,201,637,71.906886
1000005,pi,vision_only_success,success,,-0.001644062,0.000835239,-0.040996491,0.999859667,pass_implied,,success,223,620,75.997783,failed,z_depth+orientation+inhand_bias,0.007272414,0.000012554,-0.011934743,0.774325426,fail,0.040369761,inhand_early_stop,175,590,66.370305
1000006,pi,both_success,success,,-0.002131508,0.000533378,-0.040379362,0.998799626,pass_implied,,success,182,596,70.764424,success,,-0.000566014,0.001203601,-0.040198191,0.998959841,pass_implied,,success,190,613,72.900945
1000007,pi,freeze_only_success,failed,z_depth+orientation+inhand_bias,0.008498200,-0.000350574,-0.005970931,0.469078265,fail,0.040296160,inhand_early_stop,114,580,59.999628,success,,-0.001092340,-0.000750109,-0.040817641,0.999997330,pass_implied,,success,129,593,61.526869
1000008,pi,both_failed,failed,z_depth+orientation+inhand_bias,-0.002133415,-0.002194187,-0.021480819,0.989818973,fail,0.040820173,inhand_early_stop,223,644,79.845344,failed,z_depth+inhand_bias,-0.002350972,-0.001752177,-0.024454374,0.995676074,fail,0.040574435,inhand_early_stop,207,629,74.915519
1000009,pi,both_failed,failed,z_depth+orientation+inhand_bias,0.008638080,0.001076074,-0.007649421,0.575995322,fail,0.040746132,inhand_early_stop,227,655,77.444186,failed,z_depth+orientation+inhand_bias,0.006398355,-0.000142670,-0.012437973,0.771891981,fail,0.040463040,inhand_early_stop,158,568,64.732772
1000010,pi,both_failed,failed,z_depth+orientation+inhand_bias,0.008504622,-0.001053137,-0.006719766,0.512686922,fail,0.040005951,inhand_early_stop,168,600,67.034138,failed,z_depth+orientation+inhand_bias,0.005841606,-0.000890303,-0.012919457,0.797018540,fail,0.040352567,inhand_early_stop,182,590,70.087133
1000011,pi,both_failed,failed,z_depth+inhand_bias,-0.001731337,0.000428697,-0.025479953,0.994101860,fail,0.040486863,inhand_early_stop,169,577,67.618175,failed,z_depth+inhand_bias,0.000439931,0.001184925,-0.019927873,0.993261266,fail,0.040377814,inhand_early_stop,210,625,74.877145
